CÓDIGO DANE,DEPARTAMENTO,MUNICIPIO,CENTRO POBLADO,NATURALEZA DE LA BIBLIOTECA,TIPO DE BIBLIOTECA,NOMBRE DE LA BIBLIOTECA,DIRECCIÓN DE LA BIBLIOTECA,BARRIO,TELÉFONOS DE CONTACTO,EXTENSIÓN,FAX,PÁGINA WEB DE LABIBLIOTECA,ESTADO DE LA BIBLIOTECA,GEOREFERENCIA
52520000,NARIÑO,FRANCISCO PIZARRO,SALAHONDA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL ALEGRIA DE LEER,"BARRIO SAN ANDRES PLAZA PRINCIPAL
",SAN ANDRES,/3157031448/,,,,CERRADA TEMPORALMENTE,"(2.0129200°,-78.6445400°)"
25407000,CUNDINAMARCA,LENGUAZAQUE,LENGUAZAQUE,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL JULIO FLOREZ,CASA DE LA CULTURA 2 PISO,CENTRO,/8557114/3132249252/8557072,,8557114,http://www.lenguazaque-cundinamarca.gov.co/index.s,ABIERTA,"(5.3076504°,-73.7111935°)"
52240000,NARIÑO,CHACHAGUI,CHACHAGUI,ESTATAL,MUNICIPAL,BIBLIOTECA PROGRAMA EN CONVIVENCIA PACIFICA,CALLE 2 N° 7-62,DEPORTIVO,7328137/3116294930/,112,7328444,www.chachagui-narino.gov.co,ABIERTA,"(1.3613900°,-77.2835390°)"
5055000,ANTIOQUIA,ARGELIA,ARGELIA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MANUEL JOSE CONTRERAS,CARRERA 30 # 30-28 PRIMER PISO ALCALDIA MUNICIPAL,CALLE PRINCIPAL ,8650077/3113446562/,,8650077,www.argelia-antioquia.gov.co,ABIERTA,"(9.3063220°,-75.3832819°)"
8001000,ATLANTICO,BARRANQUILLA,"DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO DE BARRANQUILLA",ESTATAL,MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL VILLAS DE SAN PABLO,CARRERA23 CALLE 143B ESQUINA,URBANIZACION VILLAS DE SAN PABLO,/3016422961/3705772,,,,ABIERTA,"(10.9607988°,-74.7734272°)"
76520026,VALLE DEL CAUCA,PALMIRA,ROZO,ESTATAL,RURAL,BIBLIOTECA PÚBLICA GRECO,CALLE  10 No. 9-20 Parque Principal,Corregimiento de Rozo,2709500/3146085512/2709500,,,,ABIERTA,"(3.6068816°,-76.3828753°)"
20175000,CESAR,CHIMICHAGUA,CHIMICHAGUA,ESTATAL,MUNICIPAL,BIBLIOTECA PUBLICA ISMAEL MEDINA LIMA ,CALLE 9  No 2-98 ESQUINA,INMACULADA,3184566730/3184566730/,,,,ABIERTA,"(9.2617300°,-73.8104010°)"
27491000,CHOCO,NOVITA,NÓVITA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL FELIX VALENCIA CAMACHO,BARRIO LAS AGUAS DIAGONAL A LA IGLESIA,BARRIO LAS AGUAS DIAGONAL A LA IGLESIA,3136979468/3104412702/,,,https://www.facebook.com/BibliotecaFelixValenciaCa,ABIERTA,"(4.9549980°,-76.6055200°)"
19022000,CAUCA,ALMAGUER,ALMAGUER,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DEL  MUNICIPIO ALMAGUER,CALLE 3 CON CARRERA SÉPTIMA,SAN FRANCISCO,3136451625/3136451625/,,,https://www.facebook.com/biblioteca.publicalmaguer,ABIERTA,"(1.9135830°,-76.8554060°)"
25175000,CUNDINAMARCA,CHIA,CHÍA,ESTATAL,MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL YERBABUENA ,"  VEREDA YERBABUENA SECTOR VARA   
",Sector la Vara,8844444/3142043006/,3605,,,ABIERTA,"(4.8605181°,-74.0119141°)"
25758000,CUNDINAMARCA,SOPO,SOPÓ,ESTATAL,MUNICIPAL,"BIBLIOTECA MUNICIPAL ""EDUARDO CARRANZA""",CARRERA 2 N° 2-40,CENTRO,8572969/8572652//3204110404/,36,,,ABIERTA,"(4.9077724°,-73.9400119°)"
5001009,ANTIOQUIA,MEDELLIN,ALTAVISTA,ESTATAL,MUNICIPAL,BIBLIOTECA PUBLICA ALTAVISTA,Calle 18 No. 103 – 160,Corregimiento Altavista,3417093/3127879096/3417093,,,http://bibliotecasmedellin.gov.co,ABIERTA,"(6.2234754°,-75.6258689°)"
52001000,NARIÑO,PASTO,SAN JUAN DE PASTO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL CARLOS CÉSAR PUYANA,CARRERA 30 No 17 00,PARQUE INFANTIL ,7364919/3166927238/7364919,,,https://www.facebook.com/bibliotecaCEDTPasto/,ABIERTA,"(1.2191917°,-77.2816401°)"
5615000,ANTIOQUIA,RIONEGRO,RIONEGRO,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA BALDOMERO SANIN CANO,CARRERA 50 N° 48-05 ,CENTRO,5658100/3006161879 /5658176 ,2302,5658169,,ABIERTA,"(6.1555432°,-75.3729790°)"
52227004,NARIÑO,CUMBAL,PANÁN,ESTATAL,RESGUARDO INDÍGENA,BIBLIOTECA PÚBLICA MARIA PANANA,RESGUARDO INDIGENA PANAN,PANAN CENTRO,3137319568/3206466240/,,,https://goo.gl/DVymLb,ABIERTA,"(0.8478400°,-77.8093800°)"
41026000,HUILA,ALTAMIRA,ALTAMIRA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL JOSE EUSTASIO RIVERA,CRA 3 Nº 6-26,SAMANES,8302676  /3103343952/,,,https://www.facebook.com/biblioteca.joseeustasiori,ABIERTA,"(2.0641820°,-75.7857958°)"
5001000,ANTIOQUIA,MEDELLIN,MEDELLÍN,ESTATAL,MUNICIPAL,"PARQUE BIBLIOTECA MANUEL MEJÍA VALLEJO, GUAYABAL","CARRERA 65 N° 14 - 115
",,/3146791461/,,,,ABIERTA,"(6.2085443°,-75.5889907°)"
5001000,ANTIOQUIA,MEDELLIN,MEDELLÍN,ESTATAL,MUNICIPAL,PARQUE BIBLIOTECA GABRIEL GARCIA MARQUEZ  DOCE DE OCTUBRE,CARRERA 80 N° 104-04 INTERIOR 103,Doce de Octubre 1,4776519 / 4776284/3007481147/4776519,,,http://bibliotecasmedellin.gov.co,ABIERTA,"(6.3047302°,-75.5778136°)"
85225000,CASANARE,NUNCHIA,NUNCHÍA,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL DE NUNCHIA,CARRERA 6 # 8-02,CENTRO,6352010/3214269976 /,,,https://www.facebook.com/BIBLIOTECAMUNICIPALNUNCHI,ABIERTA,"(5.6373930°,-72.1947990°)"
23682000,CORDOBA,SAN JOSE DE URE,SAN JOSÉ DE URÉ,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA MUNICIPAL JUANA VIDES, CRA 3B CON CLL 15,SAN JOSÉ,/3226029592/,,,,ABIERTA,"(7.7876290°,-75.5315210°)"
73168000,TOLIMA,CHAPARRAL,CHAPARRAL,ESTATAL,MUNICIPAL,BIBLIOTECA PÚBLICA DARIO ECHANDIA OLAYA,CARRERA 10 ESQUINA AVINIDA CAMELLON,AVENIDA EL CAMELLON,2463304/3115429191/,,,www.chaparral-tolima.gov.co,ABIERTA,"(3.7241667°,-75.4839777°)"
